"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2020-05-04,"shot","knife",36,"M",0,"CA","False","other","Not fleeing","False",-118.13,34.033,"2020"
2020-05-04,"shot","gun",21,"M",1,"OK","False","attack","Foot","False",-95.387,35.748,"2020"
2020-05-05,"shot","gun",23,"M",1,"MO","False","attack","Not fleeing","False",-90.353,38.583,"2020"
2020-05-05,"shot","gun",56,"F",0,"CA","True","attack","Not fleeing","False",-122.43,37.458,"2020"
2020-05-05,"shot","gun",33,"M",0,"MO","False","attack","Car","False",-94.541,39.102,"2020"
2020-05-05,"shot","samurai sword",40,"M",0,"NV","True","other","Not fleeing","True",-115.088,36.136,"2020"
2020-05-06,"shot","gun",21,"M",1,"IN","False","attack","Car","True",-86.202,39.868,"2020"
2020-05-06,"shot","knife",47,"M",0,"NC","False","attack","Car","False",-79.402,36.071,"2020"
2020-05-06,"shot","gun",38,"M",0,"CO","False","attack","Foot","False",-104.905,39.825,"2020"
2020-05-07,"shot","knife",31,"M",0,"CA","False","other","Not fleeing","False",-118.182,33.814,"2020"
2020-05-07,"shot","gun",51,"M",0,"NV","False","attack","Car","False",-115.324,35.779,"2020"
2020-05-07,"shot","gun",19,"M",1,"IN","False","attack","Not fleeing","False",-86.199,39.902,"2020"
2020-05-07,"shot","knife",21,"M",0,"CA","False","attack","Not fleeing","True",-119.335,35.584,"2020"
2020-05-08,"shot","gun",47,"M",0,"CA","False","other","Car","False",-118.113,34.151,"2020"
2020-05-09,"shot","gun",42,"M",0,"WI","False","attack","Not fleeing","False",-87.943,44.518,"2020"
2020-05-09,"shot","knife",30,"M",1,"MD","False","other","Not fleeing","True",-76.979,39.043,"2020"
2020-05-09,"shot","rock",47,"M",1,"GA","True","attack","Foot","False",-81.926,32.218,"2020"
2020-05-09,"shot","gun",57,"M",0,"CO","False","attack","Car","False",-105.606,39.676,"2020"
2020-05-09,"shot","gun",27,"M",0,"NC","False","other","Not fleeing","False",-78.102,35.152,"2020"
2020-05-09,"shot","gun",25,"M",0,"SC","False","attack","Foot","False",-82.383,34.85,"2020"
2020-05-10,"shot","knife",50,"M",0,"CA","False","other","Car","False",-116.213,34.142,"2020"
2020-05-12,"shot","gun",37,"M",0,"FL","False","attack","Car","True",-81.266,28.906,"2020"
2020-05-13,"shot","gun",24,"M",1,"NC","False","attack","Foot","False",-78.587,35.79,"2020"
2020-05-14,"shot","toy weapon",30,"M",1,"TX","True","attack","Not fleeing","False",-95.366,29.684,"2020"
2020-05-14,"shot","knife",49,"M",0,"OH","True","other","Not fleeing","False",-84.255,39.086,"2020"
2020-05-14,"shot","gun",26,"M",0,"CA","False","other","Not fleeing","True",-118.289,33.921,"2020"
2020-05-15,"shot","gun",42,"M",0,"CA","False","attack","Not fleeing","False",-122.101,37.693,"2020"
2020-05-15,"shot","vehicle",31,"M",0,"CO","False","attack","Car","False",-104.577,38.271,"2020"
2020-05-15,"shot","gun",33,"M",0,"MS","False","attack","Car","False",-89.522,34.335,"2020"
2020-05-16,"shot","gun",29,"M",1,"MD","False","other","Not fleeing","True",-76.44,39.31,"2020"
2020-05-16,"shot","gun",42,"M",0,"GA","False","attack","Foot","False",-84.72,33.02,"2020"
2020-05-16,"shot","knife",38,"M",1,"TX","True","attack","Not fleeing","True",-95.528,29.671,"2020"
2020-05-17,"shot","gun",39,"M",0,"LA","False","attack","Other","False",-90.915,30.356,"2020"
2020-05-18,"shot","gun",64,"M",0,"AR","False","attack","Not fleeing","False",-90.787,34.993,"2020"
2020-05-18,"shot","gun",28,"M",0,"WI","False","other","Not fleeing","False",-88.372,44.999,"2020"
2020-05-19,"shot","gun",32,"M",0,"AL","False","attack","Not fleeing","False",-88.164,30.951,"2020"
2020-05-19,"shot","unknown weapon",69,"M",1,"FL","False","other","Not fleeing","False",-84.3,30.477,"2020"
2020-05-19,"shot","unarmed",29,"M",0,"TN","False","attack","Not fleeing","False",-85.035,35.383,"2020"
2020-05-19,"shot and Tasered","knife",57,"M",1,"WA","False","undetermined","Foot","True",-122.352,47.614,"2020"
2020-05-20,"shot","gun",45,"M",1,"AL","False","other","Foot","False",-87.494,31.024,"2020"
2020-05-21,"shot","gun",40,"M",0,"AZ","False","other","Not fleeing","True",-112.056,33.306,"2020"
2020-05-21,"shot","gun",60,"M",1,"SC","False","attack","Not fleeing","False",-82.146,34.198,"2020"
2020-05-23,"shot","gun",22,"M",0,"UT","False","other","Foot","True",-111.9,40.75,"2020"
2020-05-23,"shot","unarmed",28,"M",1,"NJ","False","attack","Not fleeing","True",-74.445,39.591,"2020"
2020-05-24,"shot","gun",52,"M",0,"MT","False","attack","Not fleeing","False",-114.583,48.072,"2020"
2020-05-25,"shot","knife",43,"M",0,"TN","True","attack","Not fleeing","False",-82.516,36.255,"2020"
2020-05-25,"shot","gun",38,"M",0,"TX","True","attack","Not fleeing","False",-95.308,29.604,"2020"
2020-05-25,"shot","unarmed",28,"M",1,"AZ","False","other","Not fleeing","True",-111.974,33.674,"2020"
